city,state,latitude,longitude,YearMonth,Monthly_Avg_Temp
New York,New York,40.7127837,-74.0059413,2022-11-01,48.79333333333333
New York,New York,40.7127837,-74.0059413,2022-12-01,36.23548387096774
New York,New York,40.7127837,-74.0059413,2023-01-01,40.483870967741936
New York,New York,40.7127837,-74.0059413,2023-02-01,38.125
New York,New York,40.7127837,-74.0059413,2023-03-01,41.512903225806454
New York,New York,40.7127837,-74.0059413,2023-04-01,54.74333333333333
New York,New York,40.7127837,-74.0059413,2023-05-01,60.148387096774194
New York,New York,40.7127837,-74.0059413,2023-06-01,67.99
New York,New York,40.7127837,-74.0059413,2023-07-01,76.56774193548387
New York,New York,40.7127837,-74.0059413,2023-08-01,73.4483870967742
New York,New York,40.7127837,-74.0059413,2023-09-01,68.07666666666667
New York,New York,40.7127837,-74.0059413,2023-10-01,58.222580645161294
New York,New York,40.7127837,-74.0059413,2023-11-01,43.486666666666665
New York,New York,40.7127837,-74.0059413,2023-12-01,40.91935483870968
New York,New York,40.7127837,-74.0059413,2024-01-01,34.24193548387097
New York,New York,40.7127837,-74.0059413,2024-02-01,35.751724137931035
New York,New York,40.7127837,-74.0059413,2024-03-01,44.483870967741936
New York,New York,40.7127837,-74.0059413,2024-04-01,51.25333333333333
New York,New York,40.7127837,-74.0059413,2024-05-01,62.696774193548386
New York,New York,40.7127837,-74.0059413,2024-06-01,73.74
New York,New York,40.7127837,-74.0059413,2024-07-01,78.25806451612904
New York,New York,40.7127837,-74.0059413,2024-08-01,73.81290322580645
New York,New York,40.7127837,-74.0059413,2024-09-01,67.21666666666667
New York,New York,40.7127837,-74.0059413,2024-10-01,58.696774193548386
New York,New York,40.7127837,-74.0059413,2024-11-01,50.026666666666664
New York,New York,40.7127837,-74.0059413,2024-12-01,34.9741935483871
New York,New York,40.7127837,-74.0059413,2025-01-01,28.374193548387098
New York,New York,40.7127837,-74.0059413,2025-02-01,32.63928571428571
New York,New York,40.7127837,-74.0059413,2025-03-01,44.99677419354839
New York,New York,40.7127837,-74.0059413,2025-04-01,53.916666666666664
New York,New York,40.7127837,-74.0059413,2025-05-01,62.064516129032256
New York,New York,40.7127837,-74.0059413,2025-06-01,74.56333333333333
New York,New York,40.7127837,-74.0059413,2025-07-01,80.12903225806451
New York,New York,40.7127837,-74.0059413,2025-08-01,73.55806451612904
New York,New York,40.7127837,-74.0059413,2025-09-01,69.26
New York,New York,40.7127837,-74.0059413,2025-10-01,57.13548387096775
New York,New York,40.7127837,-74.0059413,2025-11-01,45.2
New York,New York,40.7127837,-74.0059413,2025-12-01,31.480645161290322
